Admin Actions Logging,การบันทึกการทำงานของผู้ดูแลระบบ
Admin Actions Log Archiving,บันทึกการเก็บข้อมูลผู้ดูแลระบบ
Admin Actions Log Archive,บันทึกการทำงานของผู้ดูแลระบบ
Admin Actions Log,บันทึกการทำงานของผู้ดูแลระบบ
Admin Actions Archive,การเก็บข้อมูลการดำเนินการของผู้ดูแลระบบ
actions' 'label,actions' 'label
Action Logs,บันทึกการทำงาน
Action Log,บันทึกการทำงาน
Action Group,การกระทำกลุ่ม
Action,การกระทำ
%1 & applied,%1 & ใช้แล้ว
1,1
Visit Magento Marketplaces,เยี่ยมชม Magento Marketplaces
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.",พันธมิตรระดับสูงของ Magento ได้รับการยอมรับว่าเป็นผู้นำและผู้ริเริ่มผลิตภัณฑ์และบริการที่สำคัญที่ออกแบบมาเพื่อช่วยให้ผู้ค้าและแบรนด์สามารถเติบโตทางธุรกิจได้ Magento ขอสงวนสิทธิ์ระดับแพลทินัมสำหรับคู่ค้าที่เชื่อถือได้ที่ได้รับเลือกไว้ซึ่งมุ่งมั่น
Read More,อ่านเพิ่มเติม
Platinum Partners,พันธมิตรแพลทินัม
Partner search,การค้นหาพันธมิตร
Partners,พาร์ทเนอร์
Partner Page,หน้าพันธมิตร
No partners were found,ไม่พบพันธมิตร
More Partners,พาร์ทเนอร์เพิ่มเติม
Magento Marketplace,Magento Marketplace
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.",Magento มีระบบนิเวศที่ดีของคู่ค้าด้านเทคโนโลยีเพื่อช่วยให้ร้านค้าและแบรนด์สามารถมอบประสบการณ์ที่ดีที่สุดแก่ลูกค้า พวกเขาได้รับการยอมรับว่าเป็นผู้เชี่ยวชาญด้านอีคอมเมิร์ซการค้นหาการตลาดผ่านอีเมลการชำระเงินภาษีการฉ้อโกงการเพิ่มประสิทธิภาพและการวิเคราะห์การปฏิบัติตามข้อกำหนดและอื่น ๆ ไปที่ไดเรกทอรีพันธมิตร Magento เพื่อดูพาร์ทเนอร์ทั้งหมดที่เชื่อถือได้ของเรา
Featured Platinum Partners,พาร์ทเนอร์ Platinum ที่แนะนำ
Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.,ส่วนขยายและชุดรูปแบบเป็นส่วนประกอบสำคัญของ Magento Ecosystem โปรดไปที่ Magento Marketplace เพื่อดูนวัตกรรมล่าสุดที่นักพัฒนาซอฟต์แวร์ได้สร้างขึ้นเพื่อปรับปรุงร้านของคุณ
Wrong file info format,รูปแบบข้อมูลไฟล์ไม่ถูกต้อง
"Unable to save file ""%1"" at ""%2""","ไม่สามารถบันทึกไฟล์ ""%1"" ที่ ""%2"""
Unable to save file: %1,ไม่สามารถบันทึกไฟล์: %1
Unable to create directory: %1,ไม่สามารถสร้างไดเรกทอรี: %1
The timeout limit for response from synchronize process was reached.,กลุ่มนี้ประกอบด้วยแอ็ตทริบิวต์ที่ใช้ในผลิตภัณฑ์ที่สามารถกำหนดค่าได้ โปรดย้ายแอตทริบิวต์เหล่านี้ไปยังกลุ่มอื่นแล้วลองอีกครั้ง
Synchronizing %1 to %2,กำลังซิงค์ %1 ถึง %2
Synchronizing...,กำลังซิงค์...
Synchronize,การเชื่อมต่อ
Storage Configuration for Media,การกำหนดค่าที่เก็บข้อมูลสำหรับสื่อ
Select Media Database,เลือกฐานข้อมูลมีเดีย
Please set available and/or protected paths list(s) before validation.,โปรดตั้งค่ารายการเส้นทาง และ/หรือ เส้นทางที่ได้รับการป้องกันก่อนการตรวจสอบ
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","เส้นทาง ""%value%"" อาจไม่รวมถึง Traversal ไดเรกทอรีหลัก (""../"","".. "")"
"Path ""%value%"" is protected and cannot be used.","เส้นทาง ""%value%"" ได้รับการป้องกันและไม่สามารถใช้งานได้"
"Path ""%value%"" is not available and cannot be used.","เส้นทาง ""%value%"" ไม่สามารถใช้งานได้และไม่สามารถใช้งานได้"
Parent directory does not exist: %1,ไม่มีไดเรกทอรีหลัก: %1
Media Storage,ที่เก็บข้อมูลสื่อ
"File with an extension ""%value%"" is protected and cannot be uploaded","ไฟล์ที่มีส่วนขยาย ""%value%"" ได้รับการคุ้มครองและไม่สามารถอัปโหลดได้"
File System,ระบบไฟล์
File system,ระบบไฟล์
File %1 is not readable,ไฟล์ %1 ไม่สามารถอ่านได้
File %1 does not exist,ไม่มีไฟล์ %1
Environment Update Time,เวลาปรับปรุงสภาพแวดล้อม
"database ""%1""","ข้อมูลพื้นฐาน ""%1"""
Database,ฐานข้อมูล
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.",หลังจากเลือกตำแหน่งจัดเก็บสื่อใหม่ให้กดปุ่ม เชื่อมต่อ เพื่อถ่ายโอนสื่อทั้งหมดไปยังตำแหน่งนั้น สื่อจะไม่สามารถใช้งานได้ในตำแหน่งใหม่จนกว่ากระบวนการซิงโครไนซ์จะเสร็จสมบูรณ์
Some exception,ข้อยกเว้นบางประการ
You will see the order total before you submit the order.,คุณจะเห็นจำนวนคำสั่งซื้อทั้งหมดก่อนที่คุณจะส่งคำสั่งซื้อ
What's this?,นี่คืออะไร?
Use config,ใช้การตั้งค่า
"To see product price, add this item to your cart. You can always remove it later.",หากต้องการดูราคาสินค้าให้เพิ่มรายการนี้ลงในตะกร้าของคุณ คุณสามารถนำออกได้ทุกครั้ง
See price before order confirmation.,ดูราคาก่อนยืนยันการสั่งซื้อ
Price,ราคา
Order total will be displayed before you submit the order,ยอดสั่งซื้อทั้งหมดจะปรากฏขึ้นก่อนที่คุณจะส่งคำสั่งซื้อ
On Gesture,เมื่อใช้งาน
Minimum Advertised Price,ราคาโฆษณาขั้นต่ำ
In Cart,ในรถเข็น
Enable MAP,เปิดใช้งาน MAP
Display Actual Price,แสดงราคาตามจริง
Default Popup Text Message,ข้อความป๊อปอัพเริ่มต้น
"Default ""What's This"" Text Message","ข้อความที่เป็นค่าเริ่มต้น ""What 's This"""
Click for price,คลิกเพื่อดูราคา
Before Order Confirmation,ก่อนยืนยันการสั่งซื้อ
Add to Cart,เพิ่มในตะกร้า
Actual Price,ราคาจริง
ZIP,รหัสไปรษณีย์
Warehouse Information,ข้อมูลคลังสินค้า
Warehouse,คลังสินค้า
Use default address,ใช้ที่อยู่เริ่มต้น
Test error message,ข้อความแสดงข้อผิดพลาดในการทดสอบ
Street Address,ถนน
Street,ถนน
Status,สถานะ
State/Province,รัฐ / จังหวัด
Save Warehouse,เก็บคลังสินค้า
Requested warehouse doesn't exist,ไม่มีคลังสินค้าที่ขอ
Please select a user,โปรดเลือกผู้ใช้
Please correct the data sent.,โปรดแก้ไขข้อมูลที่ส่ง
Phone,โทรศัพท์
New Warehouse,คลังสินค้าใหม่
Name,ชื่อ
Multiple Location Inventory,พื้นที่โฆษณาหลายแห่ง
Manage Warehouses,จัดการคลังสินค้า
Manage Warehouse,จัดการคลังสินค้า
ID,ID
Fax,แฟกซ์
Enable Warehouse,เปิดใช้ Warehouse
Email,อีเมล
Edit warehouse,แก้ไขคลังสินค้า
Edit,แก้ไข
Disable Warehouse,ปิดการใช้งานคลังสินค้า
Country,ประเทศ
Contact Name,ชื่อผู้ติดต่อ
City,เมือง
Change status of warehouse,เปลี่ยนสถานะคลังสินค้า
Back,ย้อนกลับ
Add New Warehouse,เพิ่มคลังสินค้าใหม่
Your search returned no results.,การค้นหาของคุณไม่มีผลลัพธ์ใด ๆ
You must select items to add to the cart.,คุณต้องเลือกรายการที่จะเพิ่มลงในตะกร้า
You can't delete the default wish list.,คุณไม่สามารถลบรายการสินค้าที่ต้องการเริ่มต้นได้
Wish List Search Template,เทมเพลตการค้นหารายการที่ต้องการ
Wish List Search Description,คำอธิบายรายการสินค้าที่ต้องการ
Wish List Search,การค้นหารายการที่ต้องการ
Wish Lists,รายการสินค้าที่ต้องการ
Wish List Quantity,จำนวนรายการสินค้าที่ต้องการ
Wish List Name,ชื่อรายการสินค้าที่ต้องการ
Wish List Items,รายการสินค้าที่ต้องการ
"Wish list ""%1"" was saved.","รายการที่ต้องการ ""%1"" ได้รับการบันทึกแล้ว"
"Wish List ""%1"" has been deleted.","ลบรายการที่ต้องการ ""%1"" แล้ว"
"Wish list ""%1"" already exists.","รายการสินค้าที่ต้องการ ""%1"" มีอยู่แล้ว"
Wishlist,รายการสินค้าที่ต้องการ
Wish List,รายการสินค้าที่ต้องการ
We could not perform the search.,เราไม่สามารถทำการค้นหาได้
"We cannot move ""%1"".","เราไม่สามารถย้าย ""%1"" ได้"
We can't move the wish list item.,เราไม่สามารถย้ายรายการสินค้าที่ต้องการได้
We can't move %1 items.,เราไม่สามารถย้าย %1 รายการได้
We can't find the item.,เราไม่สามารถหารายการได้
We can't find an item with this ID.,เราไม่พบรายการที่มีรหัสนี้
We can't find %1 items.,เราไม่พบ %1 รายการ
We can't delete the wish list right now.,เราไม่สามารถลบรายการสินค้าที่ต้องการตอนนี้ได้
We can't create the wish list right now.,เราไม่สามารถสร้างรายการสินค้าที่ต้องการในขณะนี้
We can't create the Wish List right now.,เราไม่สามารถสร้างรายการสินค้าที่ต้องการตอนนี้ได้
We can't copy the wish list item.,เราไม่สามารถคัดลอกรายการสินค้าที่ต้องการได้
We can't copy %1 items.,เราไม่สามารถคัดลอก %1 รายการได้
"We can't copy ""%1"".","เราไม่สามารถคัดลอก ""%1"" ได้"
We can't add the item to shopping cart.,เราไม่สามารถเพิ่มรายการในตะกร้าสินค้าได้
We can't add the following product(s) to shopping cart: %1.,เราไม่สามารถเพิ่มผลิตภัณฑ์ต่อไปนี้ในตะกร้าสินค้า: %1
View,ดู
Updated,ปรับปรุงแล้ว
Unknown Magento error,ข้อผิดพลาด Magento ที่ไม่รู้จัก
Unit Price,ราคาต่อหน่วย
The wish list is not assigned to your account and can't be edited.,การดำเนินการนี้อาจใช้เวลานาน
The number of multiple wish lists should be equal to or more than 2.,"ตัวระบุนี้สงวนไว้สำหรับ ""CMS No Route Page"" ในการกำหนดค่า"
Test Phrase,ระยะทดสอบ
Template,เทมเพลต
Surplus / Deficit,ส่วนเกิน / ขาดดุล
Store Quantity,จำนวนร้านค้า
Status,สถานะ
SKU,รหัสสินค้า
Sign in to edit wish lists.,ลงชื่อเข้าใช้เพื่อแก้ไขรายการสินค้าที่ต้องการ
Select Search Type,เลือกประเภทการค้นหา
Select all,เลือกทั้งหมด
Search Results,ผลการค้นหา
Search Options,ตัวเลือกค้นหา
Search By,ค้นหาจาก
Search,ค้นหา
Save,บันทึก
Required Fields,ช่องที่ต้องเติม
Reports,รายงาน
Remove,ลบ
Refresh,รีเฟรช
Quick Search Form Types,ประเภทฟอร์มการค้นหาแบบรวดเร็ว
Qty,จำนวน
Public Wish List,รายการที่ต้องการ
Public,สาธารณะ
Provide the wish list name.,ระบุชื่อรายการที่ต้องการ
Product Info,ข้อมูลสินค้า
Product(s) %1 have required options. Each product can only be added individually.,ผลิตภัณฑ์ (ผลิตภัณฑ์) %1 มีตัวเลือกที่จำเป็น สามารถเพิ่มผลิตภัณฑ์แต่ละรายการได้ทีละรายการเท่านั้น
Product,สินค้า
Private Wish List,รายการสินค้าที่ต้องการของเอกชน
Private,เอกชน
Price,ราคา
Please select items to move.,โปรดเลือกรายการที่ต้องการย้าย
Please select items to copy.,โปรดเลือกรายการที่จะคัดลอก
Please reenter your search options.,โปรดป้อนตัวเลือกการค้นหาของคุณอีกครั้ง
Please enter a valid email address.,กรุณาใส่อีเมล์ที่ถูกต้อง.
Please enter at least two letters.,โปรดป้อนตัวอักษรอย่างน้อยสองตัว
Please enter at least 2 letters of the last name.,โปรดใส่ชื่อนามสกุลอย่างน้อย 2 ตัว
Please enter at least 2 letters of the first name.,กรุณาใส่ชื่อตัวอักษรอย่างน้อย 2 ตัว
Page not found.,ไม่พบหน้านี้
Owner Name,ชื่อเจ้าของ
Owner Email,เจ้าของอีเมล
Owner,เจ้าของ
Only %1 wish list(s) can be created.,สามารถสร้างรายชื่อที่ต้องการได้เพียง%1 รายการเท่านั้น
Number of Multiple Wish Lists,จำนวนรายการสินค้าที่ต้องการหลายรายการ
No items,ไม่มีรายการ
Name,ชื่อ
My Wish Lists Link,ลิงก์รายการโปรด
My Wish Lists,รายการโปรด
Move to Wish List,ใส่ในสิ่งที่คุณอยากได้
Move Selected to Wish List,ย้ายรายการที่เลือกไปยังรายการที่ต้องการ
Last Name,นามสกุล
Item,ชิ้น
InvalidArgumentException,InvalidArgumentException
First Name,ชื่อ
Excel XML,Excel XML
Enable Multiple Wish Lists,เปิดใช้รายการที่ต้องการหลายรายการ
Edit Wish List,แก้ไขรายการสินค้าที่ต้องการ
Edit,แก้ไข
Display Wish Lists Summary,แสดงข้อมูลสรุปรายการที่ต้องการ
Delete Wish List,ลบรายการสินค้าที่ต้องการ
Customer Wish List Report,รายงานรายการที่ลูกค้าต้องการ
Customers,ลูกค้า
Customer's Wish List Report,รายงานรายการสินค้าที่ต้องการของลูกค้า
Customer,ลูกค้า
CSV,CSV
Create Wish List,สร้างรายการสินค้าที่ต้องการ
Create New Wish List,สร้างรายการที่ต้องการใหม่
Copy to Wish List,คัดลอกไปยังรายการสินค้าที่ต้องการ
Copy Selected to Wish List,คัดลอกรายการที่เลือกไว้ในรายการที่ต้องการ
Configure and Add to Order,กำหนดค่าและเพิ่มในใบสั่ง
Comment,ความคิดเห็น
Close,ปิด
Cancel,ยกเลิก
Back,ย้อนกลับ
Are you sure you want to delete your wish list? This action can't be undone.,คุณแน่ใจหรือไม่ว่าต้องการลบรายการที่ต้องการ ไม่สามารถยกเลิกการดำเนินการนี้ได้
All Wish Lists,รายการสินค้าที่ต้องการทั้งหมด
All Websites,เว็บไซต์ทั้งหมด
All Forms,แบบฟอร์มทั้งหมด
Add to Wish List,เพิ่มเข้าในรายการที่ต้องการ
Add To Order,เพิ่มในการสั่งซื้อ
Add to Cart,เพิ่มในตะกร้า
Add to:,เพิ่ม:
Added,เพิ่ม
Actions,การกระทำ
1 item in wish list,1 รายการในรายการสินค้าที่ต้องการ
%1 product(s) have been added to shopping cart: %2.,เพิ่มผลิตภัณฑ์ %1 ในตะกร้าสินค้า: %2
%1 items were moved to %2: %3.,%1 รายการถูกย้ายไปที่ %2: %3
%1 items were copied to %2: %3.,%1 รายการถูกคัดลอกไปที่ %2: %3
%1 items in wish list,%1 รายการในรายการสินค้าที่ต้องการ
%1 items cannot be moved: %2.,%1 รายการไม่สามารถย้ายได้: %2.
%1 items are already present in %2: %3.,%1 รายการมีอยู่แล้วใน %2: %3
"%1 for ""%2""","%1 สำหรับ ""%2"""
%1's Wish List (%2),%1 รายการสินค้าที่ต้องการ (%2)
%1's Wish List,%1 รายการสินค้าที่ต้องการ
"""%1"" was moved to %2.","ย้าย ""%1"" ไปที่ %2 แล้ว"
"""%1"" was copied to %2.","คัดลอก ""%1"" ไปที่ %2 แล้ว"
"""%1"" is already present in %2.",%1 มีอยู่แล้วใน%2
Your order numbers are:,หมายเลขใบสั่งซื้อของคุณคือ:
Your order number is:,หมายเลขใบสั่งซื้อของคุณคือ:
We received your order!,เราได้รับคำสั่งซื้อของคุณแล้ว!
We cannot open the overview page.,เราไม่สามารถเปิดหน้าภาพรวม
We can't complete your order because you don't have a payment method set up.,เราไม่สามารถดำเนินการตามคำสั่งซื้อของคุณได้เนื่องจากคุณไม่ได้ตั้งค่าวิธีการชำระเงิน
Update Qty &amp; Addresses,อัปเดตจำนวน &amp; ที่อยู่
Total for this address,รวมสำหรับที่อยู่นี้
Total,รวม
The requested payment method is not available for multishipping.,ข้อความนี้จะปรากฏในตะกร้าสินค้าเมื่อยอดรวมย่อย (หลังจากส่วนลด) ต่ำกว่าจำนวนเงินที่อนุญาตต่ำสุด
Thank you for your purchase!,กลุ่มนี้ประกอบด้วยแอ็ตทริบิวต์ที่ใช้ในผลิตภัณฑ์ที่สามารถกำหนดค่าได้ โปรดย้ายแอตทริบิวต์เหล่านี้ไปยังกลุ่มอื่นแล้วลองอีกครั้ง
Thanks for your order. We'll email you order details and tracking information.,ขอบคุณสำหรับการสั่งซื้อ. เราจะส่งอีเมลรายละเอียดคำสั่งซื้อและข้อมูลการติดตาม
Subtotal,ยอดรวม
Submitting order information...,กำลังส่งข้อมูลคำสั่งซื้อ ...
"Sorry, no quotes are available for this order right now.",ขออภัยไม่มีคำพูดสำหรับคำสั่งซื้อนี้ในขณะนี้
Some addresses cannot be used due to country-specific configurations.,ไม่สามารถใช้ที่อยู่บางแห่งเนื่องจากการกำหนดค่าเฉพาะประเทศ
Ship to Multiple Addresses,จัดส่งไปยังที่อยู่หลายแห่ง
Shipping To,ที่อยู่ในการจัดส่งสินค้า 
Shipping Methods,วิธีการจัดส่งสินค้า
Shipping Method,วิธีการจัดส่งสินค้า
Shipping is not applicable.,การจัดส่งไม่สามารถใช้ได้
Shipping Information,ข้อมูลการจัดส่ง
Send To,ส่งถึง
Select Shipping Method,เลือกวิธีการจัดส่ง
Select Addresses,เลือกที่อยู่
Select Address,เลือกที่อยู่
Review Order - %1,ตรวจสอบคำสั่งซื้อ - %1
Review Order,ตรวจสอบการสั่งซื้อ
Remove Item,ลบรายการ
Remove item,ลบรายการ
Qty,จำนวน
Product Name,ชื่อสินค้า
Product,สินค้า
Price,ราคา
Please specify shipping methods for all addresses.,โปรดระบุวิธีการจัดส่งสำหรับที่อยู่ทั้งหมด
Please specify a payment method.,โปรดระบุวิธีการชำระเงิน
Please select shipping methods for all addresses.,โปรดเลือกวิธีจัดส่งสำหรับที่อยู่ทั้งหมด
Please select a shipping address for applicable items.,โปรดเลือกที่อยู่จัดส่งสำหรับรายการที่เกี่ยวข้อง
Please choose a payment method.,โปรดเลือกวิธีการชำระเงิน
Please check shipping address information.,โปรดตรวจสอบข้อมูลที่อยู่สำหรับจัดส่ง
Please check shipping addresses information.,โปรดตรวจสอบข้อมูลการจัดส่งสินค้า
Please check billing address information.,โปรดตรวจสอบข้อมูลที่อยู่สำหรับเรียกเก็บเงิน
Please agree to all Terms and Conditions before placing the order.,โปรดยอมรับข้อกำหนดในการให้บริการทั้งหมดก่อนสั่งซื้อ
Place Order,สถานที่การสั่งซื้อ
Payment Method,วิธีการชำระเงิน
Other items in your order,รายการอื่น ๆ ในใบสั่งซื้อของคุณ
Order Success,ความสำเร็จในการสั่งซื้อ
Order Review,รีวิวคำสั่งซื้อ
Order place error,เกิดข้อผิดพลาดในการสั่งซื้อ
Options,ตัวเลือก
Multishipping Settings Section,ส่วนการตั้งค่าหลายรายการ
Multishipping Settings,การตั้งค่าหลายรายการ
Maximum qty allowed for Shipping to multiple addresses is %1,จำนวนสูงสุดที่อนุญาตสำหรับการจัดส่งไปยังที่อยู่หลายแห่งคือ %1
Maximum Qty Allowed for Shipping to Multiple Addresses,จำนวนสูงสุดที่อนุญาตสำหรับการจัดส่งไปยังที่อยู่หลายแห่ง
Items,รายการ
Item not found or already ordered,รายการไม่พบหรือสั่งซื้อแล้ว
Item,ชิ้น
Incl. Tax,รวมภาษีมูลค่าเพิ่ม
Grand Total:,ยอดรวม:
Go to Shipping Information,ไปที่ข้อมูลการจัดส่ง
Go to Review Your Order,ไปที่ตรวจสอบใบสั่งซื้อของคุณ
Excl. Tax,ไม่รวมภาษีมูลค่าเพิ่ม
Enter a New Address,ป้อนที่อยู่ใหม่
Edit Shipping Address,แก้ไขที่อยู่จัดส่ง
Edit Items,แก้ไขรายการ
Edit Billing Address,แก้ไขที่อยู่การเรียกเก็บเงิน
Edit Address,แก้ไขที่อยู่
Edit,แก้ไข
Default Shipping,การจัดส่งเริ่มต้น
Default Billing,การเรียกเก็บเงินเริ่มต้น
Data saving problem,ปัญหาการบันทึกข้อมูล
Create Shipping Address,สร้างที่อยู่จัดส่ง
Create Billing Address,สร้างที่อยู่การเรียกเก็บเงิน
Continue to Billing Information,ไปที่ข้อมูลการเรียกเก็บเงิน
Continue Shopping,เลือกซื้อสินค้าต่อ
Check Out with Multiple Addresses,เช็คเอาท์ด้วยที่อยู่หลายแห่ง
Change Billing Address,เปลี่ยนแปลงที่อยู่สำหรับออกใบเสร็จ
Change,เปลี่ยนแปลง
Billing Information - %1,ข้อมูลของบิล - %1
Billing Information,ข้อมูลของบิล
Billing Address,ที่อยู่ในการจัดส่งบิล
Back to Shopping Cart,กลับไปที่รถเข็น
Back to Shipping Information,กลับไปที่ข้อมูลการจัดส่ง
Back to Select Addresses,กลับไปเลือกที่อยู่
Back to Billing Information,กลับไปที่ข้อมูลการเรียกเก็บเงิน
A shipping selection is not applicable.,การเลือกจัดส่งไม่สามารถใช้ได้
A payment method is not defined.,ไม่ได้กำหนดวิธีการชำระเงิน
Allow Shipping to Multiple Addresses,อนุญาตการจัดส่งไปยังที่อยู่หลายแห่ง
Address %1 <span>of %2</span>,ที่อยู่ %1 <span> จาก  %2</span>
Add New Address,เพิ่มที่อยู่ใหม่
Actions,การกระทำ
Successful Messages Lifetime,อายุการใช้งานของข้อความ
Retry Messages In Progress After,ลองดำเนินการข้อความหลังจากดำเนินการต่อ
New Messages Lifetime,อายุการใช้งานข้อความใหม่
MySQL Message Queue Cleanup,การล้างข้อมูลคิวของ MySQL
Message has been rejected: %1,ข้อความถูกปฏิเสธ: %1
Failed Messages Lifetime,อายุการใช้งานของข้อความไม่สำเร็จ
"All the times are in minutes. Use ""0"" if you want to skip automatic clearance.","ทุกครั้งอยู่ในนาที ใช้ ""0"" หากคุณต้องการข้ามการกวาดล้างอัตโนมัติ"
Use %s to replace the account ID in the URL,ใช้ %s เพื่อแทนที่ ID บัญชีใน URL
This is located by navigating to Settings from the New Relic APM website,ซึ่งตั้งอยู่โดยไปที่การตั้งค่าจากเว็บไซต์ New Relic APM
This is located by navigating to Events -> Deployments from the New Relic APM website,ซึ่งตั้งอยู่โดยการนำทางไปยังกิจกรรม -> การปรับใช้จากเว็บไซต์ APM ใหม่ที่เผยแพร่
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""",การตั้งค่านี้กำหนดว่าจำนวนเงินที่จัดส่งจาก Magento Admin หรือที่ได้รับจากเกตเวย์ประกอบด้วยภาษีหรือไม่
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.",กลุ่มนี้ประกอบด้วยแอ็ตทริบิวต์ที่ใช้ในผลิตภัณฑ์ที่สามารถกำหนดค่าได้ โปรดย้ายแอตทริบิวต์เหล่านี้ไปยังกลุ่มอื่นแล้วลองอีกครั้ง
"No New Relic Application ID configured, cannot continue with Cron Event reporting",ไม่มี ID แอ็พพลิเคชัน Relic ใหม่ที่กำหนดค่าไว้ไม่สามารถดำเนินการต่อด้วยการรายงาน Cron Event
New Relic Reporting Section,แผนกรายงานใหม่ที่เกี่ยวกับการรายงาน
New Relic Reporting,การรายงานใหม่ที่น่าสนใจ
New Relic Application Name,ชื่อแอ็พพลิเคชันใหม่ Relic
New Relic Application ID,รหัสแอ็พพลิเคชัน Relic ใหม่
New Relic API URL,URL API Relic ใหม่
New Relic API Key,คีย์ API Relic ใหม่
New Relic Account ID,รหัสบัญชีใหม่ Relic
Insights API URL,URL API ข้อมูลเชิงลึก
Insights API Key,คีย์ API Insights
Generated under Insights in Manage data -> API Keys -> Insert Keys,สร้างภายใต้ข้อมูลเชิงลึกในการจัดการข้อมูล -> คีย์ API -> แทรกคีย์
General,ทั่วไป
Enable New Relic Integration,เปิดใช้งานการรวม Relic ใหม่
Enable Cron,เปิดใช้งาน Cron
Cron,cron
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","ต้องการบัญชี Relic ใหม่หรือไม่ <a href=http://www.newrelic.com/magento"" target=""_blank""> คลิกที่นี่เพื่อรับบัญชี
"
You unsubscribed.,คุณยกเลิกการสมัคร
You selected an invalid queue.,คุณเลือกคิวที่ไม่ถูกต้อง
You saved the newsletter queue.,คุณบันทึกการกำหนดค่าแล้ว
Your subscription has been confirmed.,การสมัครรับข้อมูลของคุณได้รับการยืนยันแล้ว
You have been unsubscribed from the newsletter.,คุณได้ยกเลิกการรับจดหมายข่าวแล้ว
You have been successfully subscribed to our newsletter.,คุณได้สมัครรับจดหมายข่าวของเราเรียบร้อยแล้ว
We unsubscribed the people you identified.,เรายกเลิกการบอกรับคนที่คุณระบุแล้ว
We saved the subscription.,เราบันทึกการสมัครรับข้อมูลแล้ว
We removed the subscription.,เรานำการสมัครสมาชิกออก
We found no problems.,เราพบว่าไม่มีปัญหา
We cannot mark as received subscriber.,เราไม่สามารถทำเครื่องหมายเป็นผู้ติดตามที่ได้รับ
We can't delete this template right now.,ขณะนี้เราไม่สามารถลบเทมเพลตนี้ได้
Web Site,เว็บไซต์
View Newsletter,ดูจดหมายข่าว
Updated,ปรับปรุงแล้ว
Unsubscription Email Template,เทมเพลตอีเมล์ยกเลิกการเป็นสมาชิก
Unsubscription Email Sender,ผู้ส่งอีเมล์ยกเลิกการสมัครสมาชิก
Unsubscribe Selected,ยกเลิกการเป็นสมาชิก
Unsubscribed,ยกเลิกการเป็นสมาชิกของที่เลือก
Unsubscribe,ยกเลิกการเป็นสมาชิก
Unconfirmed,ไม่มีการยืนยัน
Type,ประเภท
Total of %1 record(s) were deleted.,รายการ %1 รายการแล้ว
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:",ในการเริ่มรับจดหมายข่าวคุณต้องยืนยันการสมัครรับข้อมูลของคุณก่อนโดยคลิกที่ลิงก์ต่อไปนี้:
This is an invalid subscription ID.,นี่คือรหัสการสมัครสมาชิกที่ไม่ถูกต้อง
This is an invalid subscription confirmation code.,นี่เป็นรหัสยืนยันการสมัครสมาชิกที่ไม่ถูกต้อง
This email address is already subscribed.,ก่อนหน้านี้ให้บันทึกปัญหาไว้ก่อน
This email address is already assigned to another user.,แท็บนี้มีข้อมูลที่ไม่ถูกต้อง โปรดแก้ไขปัญหานี้ก่อนบันทึก
There was a problem with the subscription: %1,ผลิตภัณฑ์นี้ไม่มีตัวเลือกที่กำหนดค่าได้
There are no subscribers selected.,ไฟล์นี้จะแทนที่ไฟล์ custom.css ปัจจุบันและต้องมีขนาดไม่เกิน 2 MB
The problems you identified have been deleted.,บทบาทนี้ไม่มีอยู่แล้ว
The newsletter template has been saved.,"ตัวระบุนี้สงวนไว้สำหรับ ""CMS Home Page"" ในการกำหนดค่า"
The newsletter template has been deleted.,กลุ่มผู้ใช้งานระบบเครือข่ายของเรา
The confirmation request has been sent.,บทบาทนี้ไม่มีอยู่แล้ว
Thank you for your subscription.,"ตัวระบุนี้สงวนไว้สำหรับ ""CMS Home Page"" ในการกำหนดค่า"
Thank you for subscribing to our newsletter.,บัญชีบัตรของขวัญนี้มีอยู่แล้วในใบเสนอราคา
Template Type,ประเภทเทมเพลต
Template Subject,หัวข้อเทมเพลต
Template Styles,ลักษณะเทมเพลต
Template Name,ชื่อเทมเพลต
Template Information,ข้อมูลเทมเพลต
Template Content,เนื้อหาเทมเพลต
Template,เทมเพลต
Success Email Template,เทมเพลตอีเมล์สำเร็จ
Success Email Sender,ส่งอีเมล์สำเร็จ
Subscription Options,ตัวเลือกการสมัครสมาชิก
Subscribers From,ผู้สมัครสมาชิกจาก
Subscribers,ผู้สมัครสมาชิก
